WP, 15, 2020092618,   , BEST,   0, 200N, 1594E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  55,   0,   0,   W,   0,   X, 350,   6,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092700,   , BEST,   0, 204N, 1591E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  190,  45,   0,   0,   W,   0,   X, 335,   7,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092706,   , BEST,   0, 217N, 1577E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  190,  45,   0,   0,   W,   0,   X, 320,  11,     KUJIRA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092712,   , BEST,   0, 233N, 1566E,  35, 1000, XX,  34, NEQ,  130,  230,   20,   40, 1006,  190,  45,   0,   0,   W,   0,   X, 325,  15,     KUJIRA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092718,   , BEST,   0, 251N, 1554E,  35,  998, XX,  34, NEQ,  135,  200,   30,   70, 1005,  185,  45,   0,   0,   W,   0,   X, 325,  18,     KUJIRA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092800,   , BEST,   0, 266N, 1541E,  40,  999, XX,  34, NEQ,  125,   30,   35,   70, 1006,  190,  35,   0,   0,   W,   0,   X, 325,  20,     KUJIRA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092806,   , BEST,   0, 280N, 1532E,  45,  993, XX,  34, NEQ,  175,  135,   55,   40, 1006,  190,  35,   0,   0,   W,   0,   X, 325,  18,     KUJIRA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092812,   , BEST,   0, 289N, 1531E,  45,  992, XX,  34, NEQ,  140,  110,   60,   65, 1006,  190,  35,   0,   0,   W,   0,   X, 330,  14,     KUJIRA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092818,   , BEST,   0, 304N, 1535E,  50,  988, XX,  34, NEQ,  160,  120,   90,  100, 1003,  175,  55,   0,   0,   W,   0,   X, 350,  13,     KUJIRA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092900,   , BEST,   0, 326N, 1541E,  60,  980, XX,  34, NEQ,   55,  130,   40,   30, 1003,  175,  40,   0,   0,   W,   0,   X,  10,  16,     KUJIRA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092906,   , BEST,   0, 348N, 1551E,  65,  974, XX,  34, NEQ,  120,  145,  100,  110, 1003,  175,  40,   0,   0,   W,   0,   X,  15,  20,     KUJIRA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092912,   , BEST,   0, 365N, 1564E,  65,  977, XX,  34, NEQ,  115,  145,  110,  100, 1006,  165,  25,   0,   0,   W,   0,   X,  20,  22,     KUJIRA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020092918,   , BEST,   0, 380N, 1582E,  55,  982, XX,  34, NEQ,  125,  150,   90,  110, 1008,  155,  40,   0,   0,   W,   0,   X,  30,  21,     KUJIRA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020093006,   , BEST,   0, 409N, 1628E,  45,  993, XX,  34, NEQ,   30,   30,   30,   30, 1008,  165,  30,   0,   0,   W,   0,   X,  45,  22,     KUJIRA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
WP, 15, 2020093012,   , BEST,   0, 411N, 1663E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1014,  180,  50,   0,   0,   W,   0,   X,  60,  23,     KUJIRA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP152020, JTWC, NCEP_TCVITALS, 
