year,storm_number,name,start_month,start_day,end_month,end_day,latitude,longitude,intensity,mslp,nsd,hd,mhd,ace,basin,storm_charnumber
2020,1,FOUR,12,11,12,12,-12.1,179.9,40,997,1.5,0,0,0.85,SH,04,
2020,2,YASA,12,12,12,19,-13.7,172.9,140,914,7.5,4.75,2.5,23.78,SH,05,
2020,3,ZAZU,12,13,12,16,-17.0,-173.4,55,985,3.5,0,0,3.18,SH,06,
2021,4,IMOGEN,1,3,1,4,-16.8,139.9,45,995,1.0,0,0,0.61,SH,09,
2021,5,KIMI,1,17,1,18,-15.1,146.4,55,990,2.0,0,0,1.81,SH,11,
2021,6,ANA,1,30,2,2,-16.1,176.5,65,976,3.5,0.5,0,3.63,SH,15,
2021,7,BINA,1,30,2,1,-11.9,171.4,45,991,1.5,0,0,0.97,SH,16,
2021,8,LUCAS,1,31,2,3,-13.9,152.3,65,980,3.75,0.25,0,3.65,SH,17,
2021,9,TWENTY,2,10,2,12,-25.1,-177.7,45,991,1.75,0,0,1.01,SH,20,
2021,10,NIRAN,3,1,3,7,-16.7,146.8,140,917,5.75,3.75,1.5,15.91,SH,23,
