Date,Observed,Climatology 
1-Jan,0.0,0.0
2-Jan,0.0,0.2
3-Jan,0.0,0.3
4-Jan,0.0,0.4
5-Jan,0.0,0.5
6-Jan,0.0,0.5
7-Jan,0.0,0.6
8-Jan,0.0,0.7
9-Jan,0.0,0.9
10-Jan,0.0,1.2
11-Jan,0.0,1.5
12-Jan,0.0,1.8
13-Jan,0.0,2.0
14-Jan,0.0,2.2
15-Jan,0.0,2.4
16-Jan,0.0,2.5
17-Jan,0.0,2.6
18-Jan,0.0,2.8
19-Jan,0.0,2.9
20-Jan,0.0,2.9
21-Jan,0.0,2.9
22-Jan,0.0,2.9
23-Jan,0.0,2.9
24-Jan,0.0,2.9
25-Jan,0.0,2.9
26-Jan,0.0,2.9
27-Jan,0.0,2.9
28-Jan,0.0,2.9
29-Jan,0.0,3.0
30-Jan,0.0,3.0
31-Jan,0.0,3.1
1-Feb,0.0,3.2
2-Feb,0.0,3.4
3-Feb,0.0,3.5
4-Feb,0.0,3.7
5-Feb,0.0,3.8
6-Feb,0.0,3.8
7-Feb,0.0,3.8
8-Feb,0.0,3.8
9-Feb,0.0,3.8
10-Feb,0.0,3.8
11-Feb,0.0,3.8
12-Feb,0.0,3.8
13-Feb,0.0,3.8
14-Feb,0.0,3.8
15-Feb,0.0,3.8
16-Feb,0.0,3.8
17-Feb,0.0,3.8
18-Feb,0.0,3.8
19-Feb,0.0,3.8
20-Feb,0.0,3.8
21-Feb,0.0,3.8
22-Feb,0.0,3.8
23-Feb,0.0,3.8
24-Feb,0.0,3.8
25-Feb,0.0,3.8
26-Feb,0.0,3.8
27-Feb,0.0,3.8
28-Feb,0.0,3.8
29-Feb,0.0,3.8
1-Mar,0.0,3.8
2-Mar,0.0,3.9
3-Mar,0.0,4.0
4-Mar,0.0,4.1
5-Mar,0.0,4.3
6-Mar,0.0,4.6
7-Mar,0.0,4.8
8-Mar,0.0,4.9
9-Mar,0.0,4.9
10-Mar,0.0,4.9
11-Mar,0.0,5.0
12-Mar,0.0,5.0
13-Mar,0.0,5.0
14-Mar,0.0,5.1
15-Mar,0.0,5.2
16-Mar,0.0,5.4
17-Mar,0.0,5.7
18-Mar,0.0,5.8
19-Mar,0.0,5.8
20-Mar,0.0,5.9
21-Mar,0.0,6.0
22-Mar,0.0,6.1
23-Mar,0.0,6.2
24-Mar,0.0,6.3
25-Mar,0.0,6.5
26-Mar,0.0,6.7
27-Mar,0.0,6.8
28-Mar,0.0,6.8
29-Mar,0.0,6.8
30-Mar,0.0,6.9
31-Mar,0.0,6.9
1-Apr,0.0,6.9
2-Apr,0.0,7.0
3-Apr,0.0,7.2
4-Apr,0.0,7.4
5-Apr,0.0,7.5
6-Apr,0.0,7.6
7-Apr,0.0,7.7
8-Apr,0.0,7.9
9-Apr,0.0,8.1
10-Apr,0.0,8.3
11-Apr,0.0,8.5
12-Apr,0.0,8.7
13-Apr,0.0,9.0
14-Apr,0.0,9.3
15-Apr,0.0,9.6
16-Apr,0.0,10.0
17-Apr,0.0,10.5
18-Apr,0.0,11.0
19-Apr,0.0,11.6
20-Apr,0.0,12.1
21-Apr,0.0,12.6
22-Apr,0.0,13.1
23-Apr,0.0,13.5
24-Apr,0.0,13.7
25-Apr,0.0,14.0
26-Apr,0.0,14.2
27-Apr,0.0,14.5
28-Apr,0.0,14.7
29-Apr,0.0,15.3
30-Apr,0.0,15.8
1-May,0.0,16.2
2-May,0.0,16.5
3-May,0.0,16.8
4-May,0.0,17.1
5-May,0.0,17.3
6-May,0.0,17.6
7-May,0.0,17.8
8-May,0.0,18.2
9-May,0.0,18.6
10-May,0.0,19.3
11-May,0.0,20.1
12-May,0.6,20.7
13-May,3.8,21.2
14-May,6.4,21.7
15-May,7.1,22.5
16-May,7.8,23.3
17-May,12.5,24.3
18-May,20.5,25.2
19-May,24.9,26.3
20-May,26.700000000000003,27.9
21-May,26.700000000000003,29.0
22-May,26.700000000000003,29.9
23-May,26.700000000000003,30.3
24-May,26.700000000000003,30.8
25-May,26.700000000000003,31.8
26-May,26.700000000000003,32.3
27-May,27.0,32.7
28-May,27.0,33.1
29-May,27.0,33.4
30-May,27.0,34.2
31-May,27.200000000000003,34.8
1-Jun,,35.3
2-Jun,,35.8
3-Jun,,36.6
4-Jun,,37.3
5-Jun,,38.2
6-Jun,,39.0
7-Jun,,39.8
8-Jun,,40.4
9-Jun,,40.9
10-Jun,,41.8
11-Jun,,42.4
12-Jun,,43.1
13-Jun,,43.7
14-Jun,,44.3
15-Jun,,45.2
16-Jun,,45.6
17-Jun,,46.3
18-Jun,,47.1
19-Jun,,48.2
20-Jun,,49.2
21-Jun,,50.3
22-Jun,,51.5
23-Jun,,52.7
24-Jun,,54.2
25-Jun,,55.6
26-Jun,,57.1
27-Jun,,58.4
28-Jun,,59.8
29-Jun,,61.3
30-Jun,,62.8
1-Jul,,64.2
2-Jul,,65.4
3-Jul,,66.3
4-Jul,,67.3
5-Jul,,68.4
6-Jul,,69.6
7-Jul,,70.9
8-Jul,,72.4
9-Jul,,74.1
10-Jul,,75.8
11-Jul,,77.8
12-Jul,,79.7
13-Jul,,82.0
14-Jul,,84.3
15-Jul,,86.6
16-Jul,,89.1
17-Jul,,91.6
18-Jul,,94.3
19-Jul,,97.0
20-Jul,,99.9
21-Jul,,102.6
22-Jul,,105.3
23-Jul,,107.9
24-Jul,,110.6
25-Jul,,113.8
26-Jul,,116.9
27-Jul,,119.7
28-Jul,,122.2
29-Jul,,124.7
30-Jul,,127.5
31-Jul,,129.7
1-Aug,,131.9
2-Aug,,134.1
3-Aug,,136.5
4-Aug,,139.0
5-Aug,,141.7
6-Aug,,144.5
7-Aug,,147.5
8-Aug,,150.8
9-Aug,,154.0
10-Aug,,156.8
11-Aug,,159.8
12-Aug,,162.9
13-Aug,,166.2
14-Aug,,169.4
15-Aug,,172.3
16-Aug,,175.5
17-Aug,,178.7
18-Aug,,182.0
19-Aug,,185.4
20-Aug,,189.0
21-Aug,,192.8
22-Aug,,197.3
23-Aug,,202.1
24-Aug,,206.6
25-Aug,,210.9
26-Aug,,215.5
27-Aug,,220.0
28-Aug,,224.6
29-Aug,,229.6
30-Aug,,235.2
31-Aug,,241.2
1-Sep,,247.3
2-Sep,,254.0
3-Sep,,259.4
4-Sep,,264.0
5-Sep,,268.1
6-Sep,,272.4
7-Sep,,276.6
8-Sep,,281.1
9-Sep,,285.9
10-Sep,,291.1
11-Sep,,296.5
12-Sep,,302.7
13-Sep,,308.3
14-Sep,,314.1
15-Sep,,319.9
16-Sep,,325.9
17-Sep,,331.7
18-Sep,,336.9
19-Sep,,341.7
20-Sep,,346.3
21-Sep,,351.1
22-Sep,,356.4
23-Sep,,362.2
24-Sep,,367.7
25-Sep,,373.1
26-Sep,,378.3
27-Sep,,383.0
28-Sep,,387.8
29-Sep,,392.5
30-Sep,,396.7
1-Oct,,400.4
2-Oct,,403.7
3-Oct,,407.0
4-Oct,,409.8
5-Oct,,413.1
6-Oct,,416.5
7-Oct,,419.2
8-Oct,,421.8
9-Oct,,424.7
10-Oct,,426.9
11-Oct,,428.7
12-Oct,,430.8
13-Oct,,432.9
14-Oct,,435.2
15-Oct,,437.7
16-Oct,,440.2
17-Oct,,443.5
18-Oct,,447.5
19-Oct,,451.8
20-Oct,,456.2
21-Oct,,460.2
22-Oct,,463.9
23-Oct,,467.3
24-Oct,,470.7
25-Oct,,474.1
26-Oct,,477.5
27-Oct,,480.3
28-Oct,,483.0
29-Oct,,485.6
30-Oct,,488.3
31-Oct,,490.4
1-Nov,,492.4
2-Nov,,494.3
3-Nov,,496.2
4-Nov,,498.0
5-Nov,,500.3
6-Nov,,502.6
7-Nov,,504.8
8-Nov,,506.3
9-Nov,,507.8
10-Nov,,509.3
11-Nov,,510.9
12-Nov,,512.2
13-Nov,,513.4
14-Nov,,514.4
15-Nov,,515.6
16-Nov,,516.8
17-Nov,,517.9
18-Nov,,519.0
19-Nov,,520.5
20-Nov,,522.1
21-Nov,,523.8
22-Nov,,525.4
23-Nov,,527.2
24-Nov,,528.7
25-Nov,,530.4
26-Nov,,532.1
27-Nov,,534.0
28-Nov,,535.9
29-Nov,,537.9
30-Nov,,539.7
1-Dec,,541.2
2-Dec,,542.6
3-Dec,,543.6
4-Dec,,544.4
5-Dec,,545.1
6-Dec,,545.8
7-Dec,,546.5
8-Dec,,547.3
9-Dec,,548.1
10-Dec,,549.0
11-Dec,,549.5
12-Dec,,549.9
13-Dec,,550.5
14-Dec,,551.1
15-Dec,,551.7
16-Dec,,552.5
17-Dec,,553.1
18-Dec,,554.1
19-Dec,,555.0
20-Dec,,555.9
21-Dec,,556.9
22-Dec,,557.6
23-Dec,,558.3
24-Dec,,559.0
25-Dec,,559.6
26-Dec,,560.1
27-Dec,,560.7
28-Dec,,561.0
29-Dec,,561.2
30-Dec,,561.4
31-Dec,,561.5
